run_id,implementation,sample,transaction_latency_ms
spring-kafka-B-02-2-1784345652862,spring-kafka,0,14.353
spring-kafka-B-02-2-1784345652862,spring-kafka,1,15.427
spring-kafka-B-02-2-1784345652862,spring-kafka,2,15.428
spring-kafka-B-02-2-1784345652862,spring-kafka,3,15.504
spring-kafka-B-02-2-1784345652862,spring-kafka,4,15.538
spring-kafka-B-02-2-1784345652862,spring-kafka,5,15.682
spring-kafka-B-02-2-1784345652862,spring-kafka,6,15.769
spring-kafka-B-02-2-1784345652862,spring-kafka,7,15.849
spring-kafka-B-02-2-1784345652862,spring-kafka,8,15.908
spring-kafka-B-02-2-1784345652862,spring-kafka,9,15.943
spring-kafka-B-02-2-1784345652862,spring-kafka,10,15.956
spring-kafka-B-02-2-1784345652862,spring-kafka,11,15.990
spring-kafka-B-02-2-1784345652862,spring-kafka,12,16.037
spring-kafka-B-02-2-1784345652862,spring-kafka,13,16.121
spring-kafka-B-02-2-1784345652862,spring-kafka,14,16.126
spring-kafka-B-02-2-1784345652862,spring-kafka,15,16.136
spring-kafka-B-02-2-1784345652862,spring-kafka,16,16.155
spring-kafka-B-02-2-1784345652862,spring-kafka,17,16.209
spring-kafka-B-02-2-1784345652862,spring-kafka,18,16.234
spring-kafka-B-02-2-1784345652862,spring-kafka,19,16.250
spring-kafka-B-02-2-1784345652862,spring-kafka,20,16.273
spring-kafka-B-02-2-1784345652862,spring-kafka,21,16.277
spring-kafka-B-02-2-1784345652862,spring-kafka,22,16.311
spring-kafka-B-02-2-1784345652862,spring-kafka,23,16.321
spring-kafka-B-02-2-1784345652862,spring-kafka,24,16.321
spring-kafka-B-02-2-1784345652862,spring-kafka,25,16.348
spring-kafka-B-02-2-1784345652862,spring-kafka,26,16.356
spring-kafka-B-02-2-1784345652862,spring-kafka,27,16.366
spring-kafka-B-02-2-1784345652862,spring-kafka,28,16.367
spring-kafka-B-02-2-1784345652862,spring-kafka,29,16.367
spring-kafka-B-02-2-1784345652862,spring-kafka,30,16.379
spring-kafka-B-02-2-1784345652862,spring-kafka,31,16.379
spring-kafka-B-02-2-1784345652862,spring-kafka,32,16.386
spring-kafka-B-02-2-1784345652862,spring-kafka,33,16.406
spring-kafka-B-02-2-1784345652862,spring-kafka,34,16.424
spring-kafka-B-02-2-1784345652862,spring-kafka,35,16.430
spring-kafka-B-02-2-1784345652862,spring-kafka,36,16.431
spring-kafka-B-02-2-1784345652862,spring-kafka,37,16.440
spring-kafka-B-02-2-1784345652862,spring-kafka,38,16.441
spring-kafka-B-02-2-1784345652862,spring-kafka,39,16.442
spring-kafka-B-02-2-1784345652862,spring-kafka,40,16.443
spring-kafka-B-02-2-1784345652862,spring-kafka,41,16.444
spring-kafka-B-02-2-1784345652862,spring-kafka,42,16.464
spring-kafka-B-02-2-1784345652862,spring-kafka,43,16.471
spring-kafka-B-02-2-1784345652862,spring-kafka,44,16.477
spring-kafka-B-02-2-1784345652862,spring-kafka,45,16.482
spring-kafka-B-02-2-1784345652862,spring-kafka,46,16.484
spring-kafka-B-02-2-1784345652862,spring-kafka,47,16.499
spring-kafka-B-02-2-1784345652862,spring-kafka,48,16.505
spring-kafka-B-02-2-1784345652862,spring-kafka,49,16.508
spring-kafka-B-02-2-1784345652862,spring-kafka,50,16.509
spring-kafka-B-02-2-1784345652862,spring-kafka,51,16.523
spring-kafka-B-02-2-1784345652862,spring-kafka,52,16.526
spring-kafka-B-02-2-1784345652862,spring-kafka,53,16.526
spring-kafka-B-02-2-1784345652862,spring-kafka,54,16.528
spring-kafka-B-02-2-1784345652862,spring-kafka,55,16.530
spring-kafka-B-02-2-1784345652862,spring-kafka,56,16.543
spring-kafka-B-02-2-1784345652862,spring-kafka,57,16.549
spring-kafka-B-02-2-1784345652862,spring-kafka,58,16.550
spring-kafka-B-02-2-1784345652862,spring-kafka,59,16.554
spring-kafka-B-02-2-1784345652862,spring-kafka,60,16.558
spring-kafka-B-02-2-1784345652862,spring-kafka,61,16.560
spring-kafka-B-02-2-1784345652862,spring-kafka,62,16.567
spring-kafka-B-02-2-1784345652862,spring-kafka,63,16.568
spring-kafka-B-02-2-1784345652862,spring-kafka,64,16.572
spring-kafka-B-02-2-1784345652862,spring-kafka,65,16.588
spring-kafka-B-02-2-1784345652862,spring-kafka,66,16.591
spring-kafka-B-02-2-1784345652862,spring-kafka,67,16.594
spring-kafka-B-02-2-1784345652862,spring-kafka,68,16.604
spring-kafka-B-02-2-1784345652862,spring-kafka,69,16.611
spring-kafka-B-02-2-1784345652862,spring-kafka,70,16.616
spring-kafka-B-02-2-1784345652862,spring-kafka,71,16.618
spring-kafka-B-02-2-1784345652862,spring-kafka,72,16.621
spring-kafka-B-02-2-1784345652862,spring-kafka,73,16.624
spring-kafka-B-02-2-1784345652862,spring-kafka,74,16.629
spring-kafka-B-02-2-1784345652862,spring-kafka,75,16.629
spring-kafka-B-02-2-1784345652862,spring-kafka,76,16.630
spring-kafka-B-02-2-1784345652862,spring-kafka,77,16.631
spring-kafka-B-02-2-1784345652862,spring-kafka,78,16.637
spring-kafka-B-02-2-1784345652862,spring-kafka,79,16.637
spring-kafka-B-02-2-1784345652862,spring-kafka,80,16.638
spring-kafka-B-02-2-1784345652862,spring-kafka,81,16.643
spring-kafka-B-02-2-1784345652862,spring-kafka,82,16.648
spring-kafka-B-02-2-1784345652862,spring-kafka,83,16.648
spring-kafka-B-02-2-1784345652862,spring-kafka,84,16.656
spring-kafka-B-02-2-1784345652862,spring-kafka,85,16.661
spring-kafka-B-02-2-1784345652862,spring-kafka,86,16.664
spring-kafka-B-02-2-1784345652862,spring-kafka,87,16.669
