run_id,implementation,sample,transaction_latency_ms
spring-kafka-B-02-3-1784346194654,spring-kafka,0,12.926
spring-kafka-B-02-3-1784346194654,spring-kafka,1,13.316
spring-kafka-B-02-3-1784346194654,spring-kafka,2,14.836
spring-kafka-B-02-3-1784346194654,spring-kafka,3,14.859
spring-kafka-B-02-3-1784346194654,spring-kafka,4,14.872
spring-kafka-B-02-3-1784346194654,spring-kafka,5,14.936
spring-kafka-B-02-3-1784346194654,spring-kafka,6,14.952
spring-kafka-B-02-3-1784346194654,spring-kafka,7,14.969
spring-kafka-B-02-3-1784346194654,spring-kafka,8,14.972
spring-kafka-B-02-3-1784346194654,spring-kafka,9,14.991
spring-kafka-B-02-3-1784346194654,spring-kafka,10,15.042
spring-kafka-B-02-3-1784346194654,spring-kafka,11,15.072
spring-kafka-B-02-3-1784346194654,spring-kafka,12,15.089
spring-kafka-B-02-3-1784346194654,spring-kafka,13,15.097
spring-kafka-B-02-3-1784346194654,spring-kafka,14,15.102
spring-kafka-B-02-3-1784346194654,spring-kafka,15,15.104
spring-kafka-B-02-3-1784346194654,spring-kafka,16,15.173
spring-kafka-B-02-3-1784346194654,spring-kafka,17,15.197
spring-kafka-B-02-3-1784346194654,spring-kafka,18,15.295
spring-kafka-B-02-3-1784346194654,spring-kafka,19,15.360
spring-kafka-B-02-3-1784346194654,spring-kafka,20,15.372
spring-kafka-B-02-3-1784346194654,spring-kafka,21,15.386
spring-kafka-B-02-3-1784346194654,spring-kafka,22,15.397
spring-kafka-B-02-3-1784346194654,spring-kafka,23,15.416
spring-kafka-B-02-3-1784346194654,spring-kafka,24,15.419
spring-kafka-B-02-3-1784346194654,spring-kafka,25,15.429
spring-kafka-B-02-3-1784346194654,spring-kafka,26,15.434
spring-kafka-B-02-3-1784346194654,spring-kafka,27,15.435
spring-kafka-B-02-3-1784346194654,spring-kafka,28,15.459
spring-kafka-B-02-3-1784346194654,spring-kafka,29,15.479
spring-kafka-B-02-3-1784346194654,spring-kafka,30,15.496
spring-kafka-B-02-3-1784346194654,spring-kafka,31,15.527
spring-kafka-B-02-3-1784346194654,spring-kafka,32,15.529
spring-kafka-B-02-3-1784346194654,spring-kafka,33,15.531
spring-kafka-B-02-3-1784346194654,spring-kafka,34,15.539
spring-kafka-B-02-3-1784346194654,spring-kafka,35,15.543
spring-kafka-B-02-3-1784346194654,spring-kafka,36,15.543
spring-kafka-B-02-3-1784346194654,spring-kafka,37,15.545
