run_id,implementation,sample,transaction_latency_ms
pool-B-02-2-1784345831944,pool,0,13.829
pool-B-02-2-1784345831944,pool,1,15.082
pool-B-02-2-1784345831944,pool,2,15.160
pool-B-02-2-1784345831944,pool,3,15.469
pool-B-02-2-1784345831944,pool,4,15.475
pool-B-02-2-1784345831944,pool,5,15.551
pool-B-02-2-1784345831944,pool,6,15.562
pool-B-02-2-1784345831944,pool,7,15.592
pool-B-02-2-1784345831944,pool,8,15.654
pool-B-02-2-1784345831944,pool,9,15.678
pool-B-02-2-1784345831944,pool,10,15.695
pool-B-02-2-1784345831944,pool,11,15.736
pool-B-02-2-1784345831944,pool,12,15.747
pool-B-02-2-1784345831944,pool,13,15.754
pool-B-02-2-1784345831944,pool,14,15.756
pool-B-02-2-1784345831944,pool,15,15.763
pool-B-02-2-1784345831944,pool,16,15.812
pool-B-02-2-1784345831944,pool,17,15.817
pool-B-02-2-1784345831944,pool,18,15.822
pool-B-02-2-1784345831944,pool,19,15.873
pool-B-02-2-1784345831944,pool,20,15.882
pool-B-02-2-1784345831944,pool,21,15.891
pool-B-02-2-1784345831944,pool,22,15.896
pool-B-02-2-1784345831944,pool,23,15.948
pool-B-02-2-1784345831944,pool,24,15.965
pool-B-02-2-1784345831944,pool,25,15.965
pool-B-02-2-1784345831944,pool,26,15.977
pool-B-02-2-1784345831944,pool,27,15.992
pool-B-02-2-1784345831944,pool,28,15.994
pool-B-02-2-1784345831944,pool,29,16.029
pool-B-02-2-1784345831944,pool,30,16.034
pool-B-02-2-1784345831944,pool,31,16.035
pool-B-02-2-1784345831944,pool,32,16.038
pool-B-02-2-1784345831944,pool,33,16.048
pool-B-02-2-1784345831944,pool,34,16.064
pool-B-02-2-1784345831944,pool,35,16.067
pool-B-02-2-1784345831944,pool,36,16.080
pool-B-02-2-1784345831944,pool,37,16.098
pool-B-02-2-1784345831944,pool,38,16.100
pool-B-02-2-1784345831944,pool,39,16.100
pool-B-02-2-1784345831944,pool,40,16.102
pool-B-02-2-1784345831944,pool,41,16.108
pool-B-02-2-1784345831944,pool,42,16.110
pool-B-02-2-1784345831944,pool,43,16.114
pool-B-02-2-1784345831944,pool,44,16.115
pool-B-02-2-1784345831944,pool,45,16.121
pool-B-02-2-1784345831944,pool,46,16.122
pool-B-02-2-1784345831944,pool,47,16.146
pool-B-02-2-1784345831944,pool,48,16.146
pool-B-02-2-1784345831944,pool,49,16.156
pool-B-02-2-1784345831944,pool,50,16.159
pool-B-02-2-1784345831944,pool,51,16.168
pool-B-02-2-1784345831944,pool,52,16.173
pool-B-02-2-1784345831944,pool,53,16.176
pool-B-02-2-1784345831944,pool,54,16.179
pool-B-02-2-1784345831944,pool,55,16.180
pool-B-02-2-1784345831944,pool,56,16.194
pool-B-02-2-1784345831944,pool,57,16.210
pool-B-02-2-1784345831944,pool,58,16.212
pool-B-02-2-1784345831944,pool,59,16.221
pool-B-02-2-1784345831944,pool,60,16.223
pool-B-02-2-1784345831944,pool,61,16.230
pool-B-02-2-1784345831944,pool,62,16.234
pool-B-02-2-1784345831944,pool,63,16.245
pool-B-02-2-1784345831944,pool,64,16.246
pool-B-02-2-1784345831944,pool,65,16.247
pool-B-02-2-1784345831944,pool,66,16.255
pool-B-02-2-1784345831944,pool,67,16.258
pool-B-02-2-1784345831944,pool,68,16.260
pool-B-02-2-1784345831944,pool,69,16.262
pool-B-02-2-1784345831944,pool,70,16.269
pool-B-02-2-1784345831944,pool,71,16.271
pool-B-02-2-1784345831944,pool,72,16.285
pool-B-02-2-1784345831944,pool,73,16.291
pool-B-02-2-1784345831944,pool,74,16.292
pool-B-02-2-1784345831944,pool,75,16.295
pool-B-02-2-1784345831944,pool,76,16.296
pool-B-02-2-1784345831944,pool,77,16.297
pool-B-02-2-1784345831944,pool,78,16.300
pool-B-02-2-1784345831944,pool,79,16.306
pool-B-02-2-1784345831944,pool,80,16.307
pool-B-02-2-1784345831944,pool,81,16.313
pool-B-02-2-1784345831944,pool,82,16.315
pool-B-02-2-1784345831944,pool,83,16.315
pool-B-02-2-1784345831944,pool,84,16.316
pool-B-02-2-1784345831944,pool,85,16.321
pool-B-02-2-1784345831944,pool,86,16.322
pool-B-02-2-1784345831944,pool,87,16.325
pool-B-02-2-1784345831944,pool,88,16.327
pool-B-02-2-1784345831944,pool,89,16.327
pool-B-02-2-1784345831944,pool,90,16.336
pool-B-02-2-1784345831944,pool,91,16.338
pool-B-02-2-1784345831944,pool,92,16.348
pool-B-02-2-1784345831944,pool,93,16.349
pool-B-02-2-1784345831944,pool,94,16.354
pool-B-02-2-1784345831944,pool,95,16.355
pool-B-02-2-1784345831944,pool,96,16.355
pool-B-02-2-1784345831944,pool,97,16.359
pool-B-02-2-1784345831944,pool,98,16.360
pool-B-02-2-1784345831944,pool,99,16.368
pool-B-02-2-1784345831944,pool,100,16.374
pool-B-02-2-1784345831944,pool,101,16.374
pool-B-02-2-1784345831944,pool,102,16.375
pool-B-02-2-1784345831944,pool,103,16.377
pool-B-02-2-1784345831944,pool,104,16.377
pool-B-02-2-1784345831944,pool,105,16.379
pool-B-02-2-1784345831944,pool,106,16.386
pool-B-02-2-1784345831944,pool,107,16.389
pool-B-02-2-1784345831944,pool,108,16.391
pool-B-02-2-1784345831944,pool,109,16.396
pool-B-02-2-1784345831944,pool,110,16.403
pool-B-02-2-1784345831944,pool,111,16.407
pool-B-02-2-1784345831944,pool,112,16.415
pool-B-02-2-1784345831944,pool,113,16.416
pool-B-02-2-1784345831944,pool,114,16.416
pool-B-02-2-1784345831944,pool,115,16.417
pool-B-02-2-1784345831944,pool,116,16.417
pool-B-02-2-1784345831944,pool,117,16.422
pool-B-02-2-1784345831944,pool,118,16.426
pool-B-02-2-1784345831944,pool,119,16.427
pool-B-02-2-1784345831944,pool,120,16.439
pool-B-02-2-1784345831944,pool,121,16.442
pool-B-02-2-1784345831944,pool,122,16.457
pool-B-02-2-1784345831944,pool,123,16.458
pool-B-02-2-1784345831944,pool,124,16.460
pool-B-02-2-1784345831944,pool,125,16.463
pool-B-02-2-1784345831944,pool,126,16.463
pool-B-02-2-1784345831944,pool,127,16.464
pool-B-02-2-1784345831944,pool,128,16.464
pool-B-02-2-1784345831944,pool,129,16.464
pool-B-02-2-1784345831944,pool,130,16.466
pool-B-02-2-1784345831944,pool,131,16.470
pool-B-02-2-1784345831944,pool,132,16.473
pool-B-02-2-1784345831944,pool,133,16.475
pool-B-02-2-1784345831944,pool,134,16.475
pool-B-02-2-1784345831944,pool,135,16.476
pool-B-02-2-1784345831944,pool,136,16.482
pool-B-02-2-1784345831944,pool,137,16.482
pool-B-02-2-1784345831944,pool,138,16.482
pool-B-02-2-1784345831944,pool,139,16.482
pool-B-02-2-1784345831944,pool,140,16.483
pool-B-02-2-1784345831944,pool,141,16.484
pool-B-02-2-1784345831944,pool,142,16.485
pool-B-02-2-1784345831944,pool,143,16.487
pool-B-02-2-1784345831944,pool,144,16.490
pool-B-02-2-1784345831944,pool,145,16.497
pool-B-02-2-1784345831944,pool,146,16.500
pool-B-02-2-1784345831944,pool,147,16.508
pool-B-02-2-1784345831944,pool,148,16.508
pool-B-02-2-1784345831944,pool,149,16.509
pool-B-02-2-1784345831944,pool,150,16.510
pool-B-02-2-1784345831944,pool,151,16.511
pool-B-02-2-1784345831944,pool,152,16.511
pool-B-02-2-1784345831944,pool,153,16.511
pool-B-02-2-1784345831944,pool,154,16.513
pool-B-02-2-1784345831944,pool,155,16.515
pool-B-02-2-1784345831944,pool,156,16.516
pool-B-02-2-1784345831944,pool,157,16.516
pool-B-02-2-1784345831944,pool,158,16.521
pool-B-02-2-1784345831944,pool,159,16.526
pool-B-02-2-1784345831944,pool,160,16.529
pool-B-02-2-1784345831944,pool,161,16.532
pool-B-02-2-1784345831944,pool,162,16.535
pool-B-02-2-1784345831944,pool,163,16.539
pool-B-02-2-1784345831944,pool,164,16.539
pool-B-02-2-1784345831944,pool,165,16.547
pool-B-02-2-1784345831944,pool,166,16.547
pool-B-02-2-1784345831944,pool,167,16.553
pool-B-02-2-1784345831944,pool,168,16.557
pool-B-02-2-1784345831944,pool,169,16.566
pool-B-02-2-1784345831944,pool,170,16.566
pool-B-02-2-1784345831944,pool,171,16.567
pool-B-02-2-1784345831944,pool,172,16.568
pool-B-02-2-1784345831944,pool,173,16.570
pool-B-02-2-1784345831944,pool,174,16.571
pool-B-02-2-1784345831944,pool,175,16.571
pool-B-02-2-1784345831944,pool,176,16.572
pool-B-02-2-1784345831944,pool,177,16.572
pool-B-02-2-1784345831944,pool,178,16.574
pool-B-02-2-1784345831944,pool,179,16.576
pool-B-02-2-1784345831944,pool,180,16.577
pool-B-02-2-1784345831944,pool,181,16.578
pool-B-02-2-1784345831944,pool,182,16.578
pool-B-02-2-1784345831944,pool,183,16.579
pool-B-02-2-1784345831944,pool,184,16.579
pool-B-02-2-1784345831944,pool,185,16.582
pool-B-02-2-1784345831944,pool,186,16.582
pool-B-02-2-1784345831944,pool,187,16.587
pool-B-02-2-1784345831944,pool,188,16.587
pool-B-02-2-1784345831944,pool,189,16.587
pool-B-02-2-1784345831944,pool,190,16.589
pool-B-02-2-1784345831944,pool,191,16.591
pool-B-02-2-1784345831944,pool,192,16.592
pool-B-02-2-1784345831944,pool,193,16.592
pool-B-02-2-1784345831944,pool,194,16.595
pool-B-02-2-1784345831944,pool,195,16.595
pool-B-02-2-1784345831944,pool,196,16.602
pool-B-02-2-1784345831944,pool,197,16.603
pool-B-02-2-1784345831944,pool,198,16.604
pool-B-02-2-1784345831944,pool,199,16.607
pool-B-02-2-1784345831944,pool,200,16.609
pool-B-02-2-1784345831944,pool,201,16.612
pool-B-02-2-1784345831944,pool,202,16.615
pool-B-02-2-1784345831944,pool,203,16.615
pool-B-02-2-1784345831944,pool,204,16.616
pool-B-02-2-1784345831944,pool,205,16.618
pool-B-02-2-1784345831944,pool,206,16.619
pool-B-02-2-1784345831944,pool,207,16.619
pool-B-02-2-1784345831944,pool,208,16.620
pool-B-02-2-1784345831944,pool,209,16.621
pool-B-02-2-1784345831944,pool,210,16.622
pool-B-02-2-1784345831944,pool,211,16.626
pool-B-02-2-1784345831944,pool,212,16.629
pool-B-02-2-1784345831944,pool,213,16.629
pool-B-02-2-1784345831944,pool,214,16.634
pool-B-02-2-1784345831944,pool,215,16.636
pool-B-02-2-1784345831944,pool,216,16.638
pool-B-02-2-1784345831944,pool,217,16.642
pool-B-02-2-1784345831944,pool,218,16.645
pool-B-02-2-1784345831944,pool,219,16.646
pool-B-02-2-1784345831944,pool,220,16.649
pool-B-02-2-1784345831944,pool,221,16.650
pool-B-02-2-1784345831944,pool,222,16.653
pool-B-02-2-1784345831944,pool,223,16.656
pool-B-02-2-1784345831944,pool,224,16.657
pool-B-02-2-1784345831944,pool,225,16.658
pool-B-02-2-1784345831944,pool,226,16.659
pool-B-02-2-1784345831944,pool,227,16.659
pool-B-02-2-1784345831944,pool,228,16.660
pool-B-02-2-1784345831944,pool,229,16.663
pool-B-02-2-1784345831944,pool,230,16.663
pool-B-02-2-1784345831944,pool,231,16.663
